"PersonalIdentificationNumber","OrganizationID","ProgramID","SiteID","AssessmentDate","DateUpdated","IncomeBenefitType","SourceCode","SourceOther","MonthlyAmount","ExportIDStr","DataCollectionStage"
61985,31,242,2182,"1/2/2010","4/29/2011","1","10","",480.0000,152,3
61985,31,242,2182,"1/2/2010","4/29/2011","1","15","",60.0000,152,3
61985,31,242,2182,"1/2/2010","4/29/2011","2","1","",,152,3
61985,31,242,2182,"1/2/2010","4/29/2011","2","10","",,152,3
61985,31,242,2182,"1/2/2010","4/29/2011","2","11","",,152,3
61985,31,242,2182,"1/2/2010","4/29/2011","2","2","",,152,3
61985,31,242,2182,"1/2/2010","4/29/2011","2","5","",,152,3
61985,31,242,2182,"1/2/2010","4/29/2011","2","7","",,152,3
30486,31,242,2182,"1/29/2010","1/29/2010","1","10","",434.0000,152,1
30486,31,242,2182,"1/29/2010","1/29/2010","2","1","",,152,1
30486,31,242,2182,"1/29/2010","1/29/2010","2","2","",,152,1
61985,31,242,2182,"1/5/2010","3/29/2011","1","15","",60.0000,152,4
61985,31,242,2182,"1/5/2010","3/29/2011","2","10","",,152,4
61985,31,242,2182,"1/5/2010","3/29/2011","2","11","",,152,4
61985,31,242,2182,"1/5/2010","3/29/2011","2","2","",,152,4
61985,31,242,2182,"1/5/2010","3/29/2011","2","4","",,152,4
61985,31,242,2182,"1/5/2010","3/29/2011","2","5","",,152,4
61985,31,242,2182,"1/5/2010","3/29/2011","2","7","",,152,4
33636,31,242,2182,"10/28/2009","4/26/2010","2","1","",,152,1
86712,31,242,2182,"10/31/2010","3/18/2011","1","3","",400.0000,152,3
86712,31,242,2182,"10/31/2010","3/18/2011","2","1","",,152,3
86712,31,242,2182,"10/31/2010","3/18/2011","2","2","",,152,3
64036,31,242,2182,"10/8/2009","4/30/2010","2","1","",,152,1
64036,31,242,2182,"10/8/2009","4/30/2010","2","2","",,152,1
64036,31,242,2182,"11/2/2009","4/30/2010","1","10","",355.0000,152,2
64036,31,242,2182,"11/2/2009","4/30/2010","2","1","",,152,2
64036,31,242,2182,"11/2/2009","4/30/2010","2","2","",,152,2
39976,31,242,2182,"11/6/2009","4/26/2010","2","1","",,152,1
75268,31,242,2182,"12/20/2010","3/18/2011","1","1","",0.0000,152,2
75268,31,242,2182,"12/20/2010","3/18/2011","1","15","",10.0000,152,2
75268,31,242,2182,"12/20/2010","3/18/2011","1","2","",650.0000,152,2
75268,31,242,2182,"12/20/2010","3/18/2011","1","7","",500.0000,152,2
75268,31,242,2182,"12/20/2010","3/18/2011","2","13","",,152,2
75268,31,242,2182,"12/20/2010","3/18/2011","2","6","",,152,2
30486,31,242,2182,"2/17/2010","2/17/2010","1","10","",434.0000,152,2
30486,31,242,2182,"2/17/2010","2/17/2010","1","10","",434.0000,152,3
30486,31,242,2182,"2/17/2010","2/17/2010","2","1","",,152,2
30486,31,242,2182,"2/17/2010","2/17/2010","2","1","",,152,3
30486,31,242,2182,"2/17/2010","2/17/2010","2","2","",,152,2
30486,31,242,2182,"2/17/2010","2/17/2010","2","2","",,152,3
84421,31,242,2182,"2/19/2010","2/22/2010","2","1","",,152,1
84421,31,242,2182,"2/24/2010","2/24/2010","1","10","",434.0000,152,2
84421,31,242,2182,"2/24/2010","2/24/2010","2","1","",,152,2
84421,31,242,2182,"2/24/2010","2/24/2010","2","2","",,152,2
69239,31,242,2182,"3/15/2010","4/26/2010","1","3","",674.0000,152,2
69239,31,242,2182,"3/15/2010","4/26/2010","2","1","",,152,2
33636,31,242,2182,"3/18/2010","3/18/2011","1","1","",750.0000,152,2
33636,31,242,2182,"3/18/2010","3/18/2011","1","6","",350.0000,152,2
33636,31,242,2182,"3/18/2010","3/18/2011","2","1","",,152,2
61985,31,242,2182,"3/31/2009","4/30/2010","1","15","",60.0000,152,1
61985,31,242,2182,"3/31/2009","4/30/2010","2","1","",,152,1
61985,31,242,2182,"3/31/2009","4/30/2010","2","2","",,152,1
84421,31,242,2182,"3/4/2010","3/5/2010","1","10","",434.0000,152,3
84421,31,242,2182,"3/4/2010","3/5/2010","2","1","",,152,3
84421,31,242,2182,"3/4/2010","3/5/2010","2","2","",,152,3
69239,31,242,2182,"5/1/2009","4/26/2010","2","1","",,152,2
86712,31,242,2182,"6/1/2010","3/18/2011","1","3","",400.0000,152,1
86712,31,242,2182,"6/1/2010","3/18/2011","2","1","",,152,1
86712,31,242,2182,"6/1/2010","3/18/2011","2","2","",,152,1
30486,31,242,2182,"7/1/2010","3/18/2011","1","1","",500.0000,152,1
30486,31,242,2182,"7/1/2010","3/18/2011","2","1","",,152,1
30486,31,242,2182,"7/1/2010","3/18/2011","2","2","",,152,1
77525,31,242,2182,"9/28/2009","4/30/2010","2","1","",,152,2
77525,31,242,2182,"9/28/2009","4/30/2010","2","2","",,152,2
